Postnummer,Ort,KnNamn,KnKod,LnNamn,Latitude,Longitude,Google-maps
82734,Ljusdal,LJUSDAL,2161,Gävleborgs län,61.8313207,16.1165292,"https://www.google.se/maps/@61.8313207,16.1165292,12z?entry=ttu"
82735,Ljusdal,LJUSDAL,2161,Gävleborgs län,61.8102621,16.1208343,"https://www.google.se/maps/@61.8102621,16.1208343,12z?entry=ttu"
82740,Tallåsen,LJUSDAL,2161,Gävleborgs län,61.8669792,16.0050557,"https://www.google.se/maps/@61.8669792,16.0050557,12z?entry=ttu"
82750,Järvsö,LJUSDAL,2161,Gävleborgs län,61.7219728,16.1528118,"https://www.google.se/maps/@61.7219728,16.1528118,12z?entry=ttu"
82751,Järvsö,LJUSDAL,2161,Gävleborgs län,61.7109326,16.1784355,"https://www.google.se/maps/@61.7109326,16.1784355,12z?entry=ttu"
82752,Järvsö,LJUSDAL,2161,Gävleborgs län,61.6444853,16.1715061,"https://www.google.se/maps/@61.6444853,16.1715061,12z?entry=ttu"
82753,Järvsö,LJUSDAL,2161,Gävleborgs län,61.6562761,15.9277004,"https://www.google.se/maps/@61.6562761,15.9277004,12z?entry=ttu"
82754,Järvsö,LJUSDAL,2161,Gävleborgs län,61.6888051,16.3635247,"https://www.google.se/maps/@61.6888051,16.3635247,12z?entry=ttu"
82760,Färila,LJUSDAL,2161,Gävleborgs län,61.8003802,15.841888,"https://www.google.se/maps/@61.8003802,15.841888,12z?entry=ttu"
82761,Färila,LJUSDAL,2161,Gävleborgs län,61.910195,15.754059,"https://www.google.se/maps/@61.910195,15.754059,12z?entry=ttu"
82762,Färila,LJUSDAL,2161,Gävleborgs län,61.7861208,15.9097412,"https://www.google.se/maps/@61.7861208,15.9097412,12z?entry=ttu"
82763,Färila,LJUSDAL,2161,Gävleborgs län,61.7091329,15.6393652,"https://www.google.se/maps/@61.7091329,15.6393652,12z?entry=ttu"
82770,Los,LJUSDAL,2161,Gävleborgs län,61.7355926,15.1672832,"https://www.google.se/maps/@61.7355926,15.1672832,12z?entry=ttu"
82771,Hamra,LJUSDAL,2161,Gävleborgs län,61.6568641,14.9968921,"https://www.google.se/maps/@61.6568641,14.9968921,12z?entry=ttu"
82772,Korskrogen,LJUSDAL,2161,Gävleborgs län,61.8102259,15.7586416,"https://www.google.se/maps/@61.8102259,15.7586416,12z?entry=ttu"
82775,Ramsjö,LJUSDAL,2161,Gävleborgs län,62.0660426,15.8278322,"https://www.google.se/maps/@62.0660426,15.8278322,12z?entry=ttu"
82776,Ramsjö,LJUSDAL,2161,Gävleborgs län,62.1837011,15.6517459,"https://www.google.se/maps/@62.1837011,15.6517459,12z?entry=ttu"
82780,Ljusdal,LJUSDAL,2161,Gävleborgs län,61.829497,16.0915685,"https://www.google.se/maps/@61.829497,16.0915685,12z?entry=ttu"
82781,Ljusdal,LJUSDAL,2161,Gävleborgs län,61.829497,16.0915685,"https://www.google.se/maps/@61.829497,16.0915685,12z?entry=ttu"
82782,Ljusdal,LJUSDAL,2161,Gävleborgs län,61.829497,16.0915685,"https://www.google.se/maps/@61.829497,16.0915685,12z?entry=ttu"
82791,Ljusdal,LJUSDAL,2161,Gävleborgs län,61.8465559,15.9550067,"https://www.google.se/maps/@61.8465559,15.9550067,12z?entry=ttu"
82792,Ljusdal,LJUSDAL,2161,Gävleborgs län,61.8075585,16.2308174,"https://www.google.se/maps/@61.8075585,16.2308174,12z?entry=ttu"
82793,Ljusdal,LJUSDAL,2161,Gävleborgs län,61.9102295,16.207679,"https://www.google.se/maps/@61.9102295,16.207679,12z?entry=ttu"
82794,Ljusdal,LJUSDAL,2161,Gävleborgs län,61.829497,16.0915685,"https://www.google.se/maps/@61.829497,16.0915685,12z?entry=ttu"
82795,Tallåsen,LJUSDAL,2161,Gävleborgs län,61.9711957,15.8993367,"https://www.google.se/maps/@61.9711957,15.8993367,12z?entry=ttu"
82801,Edsbyn,OVANÅKER,2121,Gävleborgs län,61.3771377,15.8174741,"https://www.google.se/maps/@61.3771377,15.8174741,12z?entry=ttu"
82820,Edsbyn,OVANÅKER,2121,Gävleborgs län,61.3771377,15.8174741,"https://www.google.se/maps/@61.3771377,15.8174741,12z?entry=ttu"
82821,Edsbyn,OVANÅKER,2121,Gävleborgs län,61.3771377,15.8174741,"https://www.google.se/maps/@61.3771377,15.8174741,12z?entry=ttu"
82822,Edsbyn,OVANÅKER,2121,Gävleborgs län,61.3771377,15.8174741,"https://www.google.se/maps/@61.3771377,15.8174741,12z?entry=ttu"
